Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.3789063555328247,1.3951529952382073,1.2558704674965058,0.5038956908888534,-0.13633458131677478,0.06174225415356993,0.043296012354530955,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
2,FTXL,HB,Growth & Technology,Semiconductors,2.0407967392706783,1.256037707060893,1.076588434782574,0.6614649561944761,-0.1652824073627127,0.08641542506573185,0.044621413222095674,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
3,AIS,HB,Growth & Technology,AI Infrastructure,2.1444164567590263,1.152298850574713,0.9867816091954025,0.736207695873899,-0.15281076801266813,0.08330922765403526,0.03653473567672294,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
4,SOXX,,Growth & Technology,Semiconductors,1.7752964340315,1.0976859647505384,0.9571929388132236,0.6844956074328903,-0.14528663844779732,0.0717829209124905,0.04954321196090561,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,PSI,HB,Growth & Technology,Semiconductors,1.7798179887290595,1.03847719286075,0.9554635578671109,0.5308779848453196,-0.21452968284087826,0.042452151388689074,0.039385895688356376,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.698666267988684,0.9868478856375633,0.8867235876083988,0.6224470936783704,-0.15011727912431583,0.05306781485468237,0.042297038141913434,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.629104289458803,0.8862497702843855,0.7806124410692574,0.5491760669543067,-0.1089533719035446,0.05932640184839588,0.04019197207678871,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
8,COPX,HB,Natural Resources,Copper Miners,1.0941377906092402,0.7054994688565219,0.7530639757031323,0.2708064853866403,0.03413017847203337,-0.027132213944178973,0.0024060494958753065,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.4738461538461536,0.9609756097560975,0.7304878048780488,0.6063936063936062,0.3886010362694299,0.13319238900634245,0.022900763358778553,ACCELERATING,Positive trend strengthening through 1m; 1d up.
10,EWT,HB,International,Taiwan Equity,1.4123013281824073,0.8967036971118054,0.7069349166242267,0.6581588758244912,0.03685107146059363,0.11117517055827819,0.03582945180938735,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
11,XBI,,Defensive Equity,Biotech,0.8177090608923432,0.6441269921102641,0.69763930968195,0.31647684519307306,0.08480734951323177,-0.0315216060717346,0.00963501786625831,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
12,OIH,HB,Natural Resources,Oil Services,0.5483808236112375,0.5634229980439462,0.638276722241945,0.026048530893867605,0.020930292355557878,-0.045690525404989635,-0.004163427052243374,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
13,SLV,,Natural Resources,Silver Bullion,0.9391869918699187,0.5696235851539879,0.6230586996578045,-0.030721716514954478,0.012222033610592486,-0.032922478105741115,-0.005005840146837914,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
14,EPU,HB,International,Peru Equity,1.1405775289614684,0.6280378538122333,0.6205353752232368,0.24740242854490369,0.04029220408629164,0.004629629629629539,0.004297520661157073,COOLING,Positive trend losing velocity into 1m; 1d up.
15,BOAT,HB,Transportation & Trade,Global Shipping,1.1500643774440742,0.7176315511379707,0.5611899920202401,0.3939277668369916,0.31025571364623294,0.10020661157024802,0.0007517383950386147,ACCELERATING,Positive trend strengthening through 1m; 1d up.
16,PICK,HB,Natural Resources,Global Metals & Mining,0.6883940319205955,0.49466927796585924,0.5392284398494818,0.20081680572019178,-0.012321971515442565,-0.028949024543738267,-0.0012944983818770073,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
17,SIL,,Natural Resources,Silver Miners,1.3581456795304296,0.4805006791478752,0.5389248740374564,0.1856207399436911,0.13024320398351086,-0.037964293043299735,-0.015126050420168013,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
18,IBB,HB,Defensive Equity,Biotechnology,0.543422708853839,0.4452124222878988,0.4707363883607545,0.28178330264645624,0.17045844351288975,-0.017354548561420935,0.012710207274149399,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
19,XLE,,Natural Resources,Energy,0.40966320537969936,0.4357161174310562,0.46536827547598203,0.06763594107392201,0.1553829078801332,-0.020235294117647018,-0.02876691027833933,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
20,VDE,HB,Natural Resources,Energy,0.42662808088473025,0.4340762621655896,0.463472749056838,0.06284008782626782,0.15312440996457877,-0.020086801691520106,-0.023293217236980746,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
