Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,FTXL,HB,Growth & Technology,Semiconductors,1.8323711795004516,1.1914576006565385,1.176101758987421,0.52370881562416,-0.1409075304160513,0.007056582536040468,0.03889955785806798,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
2,EWY,,International,South Korea Equity,2.232784404335955,1.31811744068228,1.1547822826501681,0.3871701546860782,-0.10795787009947344,0.07580123493090252,0.04215563404352296,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
3,PSI,HB,Growth & Technology,Semiconductors,1.5740260047708987,0.9711624285482421,1.1436061760137752,0.4098527830124987,-0.1966081030213387,-0.08044562914359932,0.03619839802834246,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
4,AIS,HB,Growth & Technology,AI Infrastructure,1.9562135112593828,1.1054351054351055,1.0683100683100681,0.583780160857909,-0.11287698660993617,0.017949454336588122,0.04342066529290545,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.563187422523682,1.0152726632653382,1.0602879628684598,0.5372207371173916,-0.133310642269303,-0.02184903295772711,0.034617376409194156,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5094981006428356,0.9196313768946232,0.9794101074906643,0.49284092643549116,-0.13707216437360425,-0.030200275511285457,0.03330698882240046,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.4569574646539194,0.8311414715392698,0.8604305924374638,0.42454339929382456,-0.10123884161097496,-0.015743194622391488,0.0279345993108,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
8,EWT,HB,International,Taiwan Equity,1.2802001158974763,0.8261046120534352,0.7243515192424976,0.5496215306980654,0.05175530396727246,0.05900948366701786,0.019833948339483376,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.2682215743440235,0.9353233830845773,0.718905472636816,0.45420560747663563,0.3097643097643097,0.12590448625180906,0.01699346405228752,ACCELERATING,Positive trend strengthening through 1m; 1d up.
10,XBI,,Defensive Equity,Biotech,0.8011900499529667,0.6962282391798982,0.7158396725745104,0.3081939558176163,0.13663377434436863,-0.011429642121041916,0.026592294720456655,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
11,OIH,HB,Natural Resources,Oil Services,0.5938264411098892,0.578758511853489,0.6440122997753184,0.053263081016224234,0.016821112006446537,-0.039691788151917984,0.009878704514192815,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
12,COPX,HB,Natural Resources,Copper Miners,1.1261466430523055,0.6595558348679367,0.6354738315058084,0.16275284309437965,0.0042077828587090416,0.014724786724319427,0.03135764342558489,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
13,EPU,HB,International,Peru Equity,1.1663080599639488,0.5920153628927736,0.5417912784977723,0.17356384957229665,0.016426642664266522,0.032575151445879635,0.011986109555281788,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
14,BOAT,HB,Transportation & Trade,Global Shipping,1.1877358111367116,0.7255824584536505,0.5377114376227534,0.3722718186800078,0.3352215027451173,0.12217573221757339,0.020936429387133693,ACCELERATING,Positive trend strengthening through 1m; 1d up.
15,SLV,,Natural Resources,Silver Bullion,0.9243752028562155,0.5360103626943005,0.4880829015544039,-0.13697234352256193,-0.02177858439201452,0.03220752089136503,0.03926380368098159,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
16,PICK,HB,Natural Resources,Global Metals & Mining,0.7196789716677079,0.48809177514796254,0.4773465681708029,0.14656767551497984,-0.027465667915106073,0.007273315015354775,0.022477440525020542,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
17,XLE,,Natural Resources,Energy,0.47062363589402345,0.470361347159467,0.4627809808954044,0.11060866098083655,0.1792871089520247,0.0051821608040201195,-0.00031235358425729665,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
18,VDE,HB,Natural Resources,Energy,0.4882960436920567,0.4660239794897567,0.4580507096085207,0.10418023185662806,0.17578603045458618,0.005468444841247644,0.00016651865008876499,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
19,IBB,HB,Defensive Equity,Biotechnology,0.5199829672628018,0.4656157349395724,0.4471244451093954,0.25894536587061756,0.18865937508058317,0.012777954164667094,0.0185276679841897,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
20,LIT,HB,Natural Resources,Lithium & Battery,0.7223906242415876,0.37701303990836177,0.43760938242619085,0.025266738759518237,-0.14283406548344801,-0.04215077006214529,0.01503221188260584,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
21,QTEC,HB,Growth & Technology,Technology,0.6800627260220062,0.39999132201263876,0.4359489938622265,0.38015497970558787,-0.047997304427427,-0.02504105090311992,0.01632706804042261,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
22,XOP,HB,Natural Resources,Oil & Gas E&P,0.5344515468439641,0.47257758708778086,0.4215002123156095,0.11748144239481584,0.23885139248080733,0.03593202050175348,0.0010948905109489093,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
23,DXJ,HB,International,Japan Hedged Equity,0.6270969135633817,0.41178829099208003,0.39243262337024154,0.14934656226305476,0.031196791532679402,0.01390061342788007,0.010488529923158962,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
24,DBC,,Inflation & Real Assets,Broad Commodity Futures,0.5425399486078517,0.4978483014763482,0.38304805298391686,0.12777587974034832,0.19126669072536973,0.08300524934383202,-0.00452352231604336,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
25,XLK,,Growth & Technology,Technology,0.7561103577024879,0.3842733615972713,0.3701014257208357,0.36269261063578107,0.010568469200473496,0.010343712961965235,0.01962703202305227,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
