Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.4716432950611598,1.4602913966407391,1.2778962084773617,0.43950377400792173,0.0021852237252861784,0.08007177301783108,0.018291393529287436,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
2,FTXL,HB,Growth & Technology,Semiconductors,2.1437409502185027,1.327944449126985,1.0739401900935523,0.6892291630039924,-0.0710388883883587,0.12247424503691917,0.02399967731526309,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
3,AIS,HB,Growth & Technology,AI Infrastructure,2.2326858108108105,1.2124277456647397,0.9864161849710984,0.7389822807814628,-0.05013028911775663,0.11377855376109403,0.022029372496662036,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
4,PSI,HB,Growth & Technology,Semiconductors,1.8782168847120908,1.111304448267489,0.9736292120379335,0.534944623891757,-0.12813893452241265,0.06975739687567484,0.02567642186637209,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.8641148779529453,1.1613653944925861,0.9611084164725048,0.7036354672792886,-0.05010942902328097,0.10211418009224027,0.024028319090356298,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.7752863876034222,1.044994097168734,0.8915076875789478,0.635121771599436,-0.0583411288257667,0.08114500966487848,0.020443626699376383,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
7,COPX,HB,Natural Resources,Copper Miners,1.1805269674156462,0.7258638311187506,0.8142860611860705,0.22754277631301045,0.1359559252818161,-0.048736652923142,0.02846039547376855,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
8,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.2964601769911503,0.9080882352941178,0.8075980392156863,0.5585585585585586,0.32285471537807986,0.05559322033898306,-0.03171641791044766,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
9,SMH,HB,Growth & Technology,Semiconductors,1.6837708857646914,0.9300945779370675,0.7806334628905462,0.5521770237121832,-0.023454706213326793,0.08393704721458928,0.01917688706944287,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
10,XBI,,Defensive Equity,Biotech,0.8782077685629752,0.7009505193462466,0.7415118896105111,0.33137958632502174,0.1009317826293954,-0.023290894828938535,0.02300448713897496,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
11,EWT,HB,International,Taiwan Equity,1.3945592443813162,0.899628316619824,0.7212338930018907,0.5952050997782705,0.09378563283922459,0.10364333652924262,-0.004583189207886584,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
12,OIH,HB,Natural Resources,Oil Services,0.5355584152302522,0.5791177580221587,0.660140177287863,-0.00950231916760691,0.027410797877873705,-0.04880456504466324,-0.0039583490910923835,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
13,EPU,HB,International,Peru Equity,1.1763119347869715,0.6434220722863728,0.6596656080244849,0.2295854087220599,0.1032357473035439,-0.009787234042553217,0.021285933728329987,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
14,BOAT,HB,Transportation & Trade,Global Shipping,1.101573205266623,0.7097589926632049,0.6369542263089527,0.3399873026154292,0.2758142421043508,0.04447574964781653,-0.025352112676056415,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
15,SLV,,Natural Resources,Silver Bullion,0.9901639344262296,0.5548155737704918,0.6065573770491803,-0.02833360012806141,0.08917997487888041,-0.03220663265306112,0.01794398792554075,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
16,PICK,HB,Natural Resources,Global Metals & Mining,0.7330015966288947,0.5084037279927243,0.5813327737214296,0.17116961460020752,0.048870292887029265,-0.04611872146118723,0.015392093324692269,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
17,SIL,,Natural Resources,Silver Miners,1.461548684713418,0.48217799868385214,0.5147399627243352,0.17906853586273996,0.24212837798851505,-0.021496735308889958,0.03892918088737196,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
18,IBB,HB,Defensive Equity,Biotechnology,0.5922696790255377,0.48005339708286554,0.49928001729631877,0.29602910768353796,0.18379092389615392,-0.012823902134122322,0.017619231511874833,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
19,XOP,HB,Natural Resources,Oil & Gas E&P,0.4164413428237901,0.43405537796307825,0.4907294533157829,0.047794368393729636,0.17604576884065093,-0.038017680020104416,-0.016995940460081127,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
20,VDE,HB,Natural Resources,Energy,0.40803231538781404,0.43959728836994993,0.4828661296631618,0.041849410582115665,0.13467144006926546,-0.02917919590154816,-0.010050536596445503,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
21,XLE,,Natural Resources,Energy,0.3974863086735223,0.4478920165709892,0.4826704527437553,0.04973028031376869,0.14115357124627792,-0.02345661917549302,-0.010886967659301972,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
22,LIT,HB,Natural Resources,Lithium & Battery,0.7581953937045189,0.35915132757627877,0.4597586317905331,0.024991051643286744,-0.08661706549732673,-0.06892050646129755,0.007059155724975286,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
23,DBC,,Inflation & Real Assets,Broad Commodity Futures,0.5070472868917679,0.5063701714044975,0.4515761885975522,0.16900900900900884,0.1961651917404128,0.037747920665387014,-0.0042971147943523524,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
