Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,FTXL,HB,Growth & Technology,Semiconductors,1.740482763044557,1.2705762344432663,1.3836198361853493,0.4659974650133043,-0.19460621594740624,-0.047425180822036395,0.002689765215409201
2,EWY,,International,South Korea Equity,2.383094077009304,1.5321005669919923,1.371951096040239,0.43597900429457614,-0.11477178016374956,0.06751803239919596,0.009504640500950456
3,PSI,HB,Growth & Technology,Semiconductors,1.4766949650004433,1.1093647986768413,1.3224155223674092,0.37585655415635943,-0.19688166749450509,-0.09173669467787127,0.003792276139617634
4,AIS,HB,Transportation & Trade,Marine Shipping,1.8742514970059885,1.2325581395348837,1.2780730897009964,0.5584415584415585,-0.1626168224299065,-0.019979582907977078,0.0037341299477222645
5,SOXX,,Growth & Technology,Semiconductors,1.5030656831501825,1.0876506732454239,1.2061254725036772,0.48847717080475683,-0.16638161218240466,-0.053702656868287235,0.0015156349712825978
6,SOXQ,HB,Growth & Technology,Semiconductors,1.4844758178409792,1.0372418628506468,1.1541439965914053,0.45352724017052193,-0.16563067333231896,-0.05426848619485869,0.0014562563011091267
7,SMH,HB,Growth & Technology,Semiconductors,1.4611262984315507,0.9352702787860103,0.9951564926246654,0.39774883015049944,-0.11940464997689348,-0.03001579778830965,0.0038511844208690693
8,EWT,HB,International,Taiwan Equity,1.2568504034553647,0.9613425223640566,0.8112097931937217,0.5643465909090908,0.04141843971631198,0.08289085545722696,0.006396783331810152
9,COPX,HB,Natural Resources,Copper Miners,1.4979757512915226,0.8363110225297958,0.7451494999866728,0.11251622974438868,0.01485355926400711,0.05223708487084866,0.01501668520578403
10,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.69,0.9828009828009827,0.7162162162162162,0.40104166666666674,0.2748815165876777,0.1553328561202576,-0.026537997587454676
11,XBI,,Defensive Equity,Biotech,0.917518415967276,0.7632925882981105,0.6413274056180427,0.32801744743435624,0.2332586166689563,0.0743088687013922,-0.005986575557840101
12,EPU,HB,International,Peru Equity,1.3736023708219829,0.6853028466742928,0.6382863961507237,0.1096163361160849,0.12153059094082397,0.02869855394883203,-0.0002162162162161474
13,PICK,HB,Natural Resources,Metals & Mining,0.9209763026933415,0.6158966193795532,0.5680494196955619,0.1180029351439047,-0.013990496231755079,0.030513833992094952,0.0046239210850802515
14,OIH,HB,Natural Resources,Oil Services,0.7633285657752276,0.7502710013325351,0.568040184670217,0.1351715394976627,-0.020867029637560708,0.1162156547031632,-0.015506894498144574
15,LIT,HB,Natural Resources,Lithium & Battery,0.8672253513305133,0.5984468730404104,0.559591261434137,0.08157474019802802,-0.10206437740510776,0.024913971094287612,0.002693239967680894
16,SLV,,Natural Resources,Silver,1.0879310344827586,0.6215854311730047,0.5016068559185858,-0.18473138548539114,-0.09599880561361607,0.07990012484394504,0.025055019468427142
17,QTEC,HB,Growth & Technology,Technology,0.6640680960872998,0.4703756202673739,0.4964096195425953,0.37658019970668843,-0.059155900542246065,-0.017397642286728354,0.013764467403386993
18,BOAT,HB,Transportation & Trade,Shipping,1.0975344243997434,0.7129265818194397,0.4717220244192444,0.27645398711510505,0.26871547780766236,0.16389274156264455,0.023790158601057376
19,XLK,,Growth & Technology,Technology,0.717021333068101,0.4305628474411445,0.4301013011119168,0.32988480366711803,-0.03612493669405781,0.0003227368081328841,0.012908496732026098
20,DXJ,HB,International,Japan Hedged Equity,0.7055440267244657,0.45136690076293773,0.4208949673876661,0.14242728778037983,0.04470618709629082,0.0214455917394758,-0.0006106022758812779
21,SIL,,Natural Resources,Silver Miners,1.944469248835988,0.6835002598799513,0.391345863951692,-0.008694324860174407,0.14663111063233814,0.2099797063387847,0.02705441280778187
22,FTEC,HB,Growth & Technology,Technology,0.6899844990408226,0.4045362517594182,0.39109804309003815,0.32162470540806853,-0.01585135063983989,0.009660144902173595,0.014917496393765717
23,VGT,,Growth & Technology,Technology,0.6836996126106114,0.4018307214699295,0.38837834194556553,0.32172921755795447,-0.014623911973817294,0.009689274974941542,0.014689834634433074
24,IYW,HB,Growth & Technology,Technology,0.6875814244111482,0.39070362905524236,0.383709910797144,0.31817571959537005,-0.014841706051003878,0.005054324033907598,0.01674853047749414
25,DRIV,HB,Growth & Technology,Autonomous/EV,0.5936762465877772,0.3629025544590627,0.3794992222721332,0.12460208174924303,-0.1753990941793082,-0.01203093669435673,0.0114369501466276
26,XME,HB,Natural Resources,Metals & Mining,1.1443624342425558,0.4571098247545431,0.3775952997679377,0.05018513838261507,-0.07919948746527516,0.05771979985704068,-0.009040683073832212
27,QCLN,HB,Growth & Technology,Clean Energy,0.6911455359706367,0.318891587065373,0.3771450929463389,0.04391570531609523,-0.2750479563228566,-0.04230019493177373,0.012989690721649572
28,IBB,HB,Defensive Equity,Biotechnology,0.5967914577585347,0.5271740117559209,0.36996387191799096,0.2687274280577141,0.24739003200291965,0.11475495307612094,4.677268475217211e-05
29,AIRR,,Industrials,U.S. Industrials,0.5570905579585168,0.1944213624193507,0.3544321023495536,-0.05090263418278773,-0.1833080424886192,-0.11813862035064726,0.012891690975816328
30,ROBO,HB,Growth & Technology,Robotics,0.4532796585988519,0.28003788174615996,0.3538522763309957,0.08752556237218823,-0.09945811695642359,-0.05452174943700372,0.011539436976921058
31,VDE,HB,Natural Resources,Energy,0.5749092872347774,0.5059828290929869,0.33575782661700626,0.15591841605570056,0.10565243372251709,0.1274370242000371,-0.00789717335657103
32,XLE,,Natural Resources,Energy,0.5566682979375626,0.5058424903595264,0.335497262805702,0.1599021903381148,0.10784723276331531,0.12755191066131566,-0.007373271889400734
33,DBC,,Inflation & Real Assets,Broad Commodities,0.5064134204028921,0.4767834467148726,0.31598224538296527,0.2051282051282053,0.06961178045515393,0.122191011235955,0.0009395552771689353
34,XAR,HB,Industrials,Aerospace & Defense,0.5948067278992044,0.18462187093398152,0.3159458801758652,-0.08851270660148058,-0.09426791220367348,-0.0997943845717526,0.014867511290515889
35,SPMO,,Broad Equity & Factors,Momentum Factor,0.5528278710311592,0.28600486597472097,0.310955506478674,0.23739157579807424,-0.03398414185178045,-0.019032408331669748,0.007311739784064519
36,CALF,HB,Broad Equity & Factors,Small Cap Value,0.5611941259787481,0.3545125783829983,0.30206472746548907,0.26506209608574793,0.14260319968398183,0.04028052508541635,0.0010382419103651674
37,SCHA,,Broad Equity & Factors,Small Cap Blend,0.43608263438863415,0.275529651061293,0.2934265885798377,0.14893279805639636,-0.00150038609682146,-0.013836840588065669,0.004994124559341895
38,XOP,HB,Natural Resources,Oil & Gas E&P,0.6069912039968199,0.5041175938689426,0.29186910690589407,0.1845283984295416,0.1301173701749363,0.16429565954355607,-0.004296955891488818
39,PAVE,,Industrials,Infrastructure,0.4445040374261513,0.20137952156763572,0.2883691523119736,0.03311155162899504,-0.049020908982587375,-0.06751918158567771,0.007553426676492281
40,ITA,,Industrials,Aerospace & Defense,0.5247535358004729,0.15329265925578284,0.28751514327395733,-0.05730129950277807,-0.023454527827586946,-0.10424924686855874,0.01168464878900477
41,MTUM,HB,Broad Equity & Factors,Momentum Factor,0.44315431418973383,0.2426242477357754,0.28644934978670666,0.2145062878304791,-0.08015222367267538,-0.03406671398154715,0.008012388903851253
42,FNDX,,Broad Equity & Factors,Fundamental Equity,0.4089855054709055,0.2986093528720688,0.2768272502773865,0.1571491812763781,0.05295493867043288,0.017059553349875856,0.007063882063881977
43,HEFA,,International,Developed ex-US Hedged,0.3564567633958602,0.2778792511005641,0.276796073095817,0.11523527842927783,0.04469692726517094,0.0008483563096499669,0.0029755579171095725
44,VEA,,International,Developed Markets,0.4912630768467108,0.2956715723306258,0.27644115275218906,0.12406440892446668,0.02765258176012564,0.015065653075328367,0.011709601873536313
45,ARKQ,HB,Growth & Technology,Autonomy & Robotics,0.7599390999725573,0.2806879071823012,0.27641234296159656,0.015882206965009527,-0.1198939372223018,0.003349673202614367,0.021373918829008742
46,IWO,HB,Broad Equity & Factors,Small Growth,0.43009040647369035,0.2402338409176885,0.27190568363324763,0.14947861426530462,-0.013975900411610565,-0.024901093786362516,0.005305110500919863
47,QQQM,,Growth & Technology,Nasdaq-100,0.4601991371572396,0.2658141449962368,0.2651287865880634,0.18162675372270565,-0.029802671877704356,0.0005417301506684957,0.01195123621669758
48,QQQ,,Growth & Technology,Nasdaq-100,0.45901104750369237,0.26497864837238194,0.2643264794090734,0.18139733853990703,-0.02990957161579222,0.0005158232259863116,0.011885962438666686
49,SCHD,,Broad Equity & Factors,Dividend,0.3272490402503263,0.3176910469915384,0.2636011066361277,0.14070631753175733,0.08497653464595567,0.04280618311533879,0.0019994287346472017
50,XLI,,Industrials,Industrials,0.3500233872127012,0.1803048593588521,0.26002412088406324,0.01988360253577648,-0.006644699510808816,-0.06326804400321973,0.010302118300729246
