Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,FTXL,HB,Growth & Technology,Semiconductors,1.9523628469842644,1.2714823120736503,1.292698147216098,0.5075952291620738,-0.06231943854987909,-0.009253653896047709,-0.025643206463959234,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
2,EWY,,International,South Korea Equity,2.4550805493904817,1.4944648772911275,1.2823848674809506,0.37583741061347387,0.024264499859904864,0.09292035398230092,-0.04193311667889721,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
3,PSI,HB,Growth & Technology,Semiconductors,1.7372699801266034,1.086971990611751,1.2272081617203479,0.43196346891129855,-0.08580506842123825,-0.06296500413337003,-0.02891411437138558,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
4,AIS,HB,Growth & Technology,AI Infrastructure,2.137837837837838,1.2262703739213805,1.1783317353787153,0.5563002680965148,-0.008398576512455569,0.022007042253521236,-0.035180055401662136,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
5,SOXX,,Growth & Technology,Semiconductors,1.6831055108606776,1.0872259760941105,1.1548733479494309,0.5142057314531605,-0.04401450301361698,-0.03139273680269583,-0.027387218045112904,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.656507265799858,1.0032912311790128,1.0845353333617207,0.47063886853811954,-0.047226273877250646,-0.038974682214518275,-0.026290580095795657,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
7,SMH,HB,Growth & Technology,Semiconductors,1.61978922049025,0.8871877355668532,0.9297966540628206,0.39710246116250647,-0.01861939710287086,-0.022079486150140437,-0.024395340333281057,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
8,COPX,HB,Natural Resources,Copper Miners,1.3697902956512156,0.7693149116689184,0.7689155628568953,0.0804607862454827,0.14798092370553295,0.00022575911502431545,-0.06990658129526606,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
9,EWT,HB,International,Taiwan Equity,1.2835049288760088,0.8488162252606684,0.7642853328460693,0.51467111667362,0.11142857142857143,0.047912257071387465,-0.025411596277738036,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
10,XBI,,Defensive Equity,Biotech,0.8269963854955469,0.658641256120811,0.6718621563258296,0.2420789893165851,0.21826882455647656,-0.007907888909976624,-0.01606224118459032,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
11,OIH,HB,Natural Resources,Oil Services,0.7140316018102917,0.683058776922276,0.6633532674689953,0.09142382213910971,-0.006384186134493541,0.011846857693233792,-0.02126470245720269,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
12,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.4305343511450381,0.8974970202622168,0.643623361144219,0.4878504672897197,0.27360000000000007,0.15445975344452512,-0.011180124223602594,ACCELERATING,Positive trend strengthening through 1m; 1d down.
13,EPU,HB,International,Peru Equity,1.2705717494538704,0.6546184458828199,0.6371208284775818,0.08986223503583557,0.13657633709922234,0.010688042752171167,-0.025756600128783114,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
