Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.2851307080461565,1.3061900970556533,1.3363465677194406,0.33298271975957916,-0.1609363915819343,-0.012907533103371671,0.006809669731018042,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
2,FTXL,HB,Growth & Technology,Semiconductors,1.8633498840321412,1.1390483220304923,1.2841089059850934,0.48750808226965026,-0.20962149123399643,-0.06350861098369542,0.016567083107007274,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
3,PSI,HB,Growth & Technology,Semiconductors,1.5973764335778977,0.9252328361738811,1.2791479788237181,0.3622688783124004,-0.2638860884434686,-0.15528396836808045,0.004117464263517778,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
4,AIS,HB,Growth & Technology,AI Infrastructure,1.9466725429704712,1.018719806763285,1.2032004830917877,0.471714725952014,-0.17741141732283472,-0.08373304097574341,0.009055236945366696,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.593866153657924,0.9727442213722131,1.1631529261264486,0.487487125205631,-0.20125706102315222,-0.08802369099960017,0.009187776437475037,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5411243072273995,0.8806887197998163,1.0761070191239446,0.44446750785136646,-0.20143764846158696,-0.09412727644771834,0.009923577050302335,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.4902113838126247,0.7965493169250726,0.9375953974549958,0.38360580828594637,-0.15773450780404885,-0.07279439284134614,0.006518928901200427,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
8,EWT,HB,International,Taiwan Equity,1.2509997992236515,0.7780856245505023,0.7824138921507562,0.4828543662362905,0.004136504653567741,-0.0024283179228541396,-0.003730995242981039,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.1970802919708032,0.858024691358025,0.7641975308641975,0.4104967197750704,0.2552126772310259,0.05318404478656413,-0.016339869281045805,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
10,XBI,,Defensive Equity,Biotech,0.7988427552610584,0.6428439021424961,0.680093936046325,0.2434112750040518,0.12955342690289418,-0.022171399529890112,-0.023350253807106647,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
11,OIH,HB,Natural Resources,Oil Services,0.6819691279980182,0.6086498199292247,0.663857686585934,0.09335158493705897,-0.019190022151593933,-0.033180642251916415,0.013157240212903654,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
12,COPX,HB,Natural Resources,Copper Miners,1.166661873790738,0.6217345036326927,0.6480807181468253,0.07572561315067983,-0.057826829874005226,-0.01598599766627773,-0.015066573230553715,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
13,EPU,HB,International,Peru Equity,1.2027881858592924,0.5624026112315594,0.5669963540667984,0.10348441431324473,0.010282188963783856,-0.0029315593640770743,-0.0031563521587192334,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
14,SLV,,Natural Resources,Silver Bullion,0.8614183474300585,0.49243609806990074,0.525299947835159,-0.21851953018301007,-0.09847171892232554,-0.021545827633378867,0.006685432793807067,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
