Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.2400755337263147,1.3283101111304942,1.345644399605916,0.42811115585984694,-0.10205115219042782,-0.00738998992274098,-0.06051292920729112,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
2,FTXL,HB,Growth & Technology,Semiconductors,1.8516398966712853,1.1221982944658966,1.293293956872363,0.4993447168279066,-0.178100060546436,-0.07460694774594434,-0.05369098895475288,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
3,PSI,HB,Growth & Technology,Semiconductors,1.5963466967924238,0.9517026292359907,1.2603134643531324,0.42187123362336876,-0.22019324486302072,-0.1365345293846053,-0.06292054402290614,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
4,AIS,HB,Growth & Technology,AI Infrastructure,1.8953993055555554,1.0166263603385732,1.1795646916565898,0.541002541002541,-0.13160635251236652,-0.07475728155339811,-0.06777529346003364,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
5,SOXX,,Growth & Technology,Semiconductors,1.568510688323379,0.9667350459873336,1.1682273585296343,0.5094324824203698,-0.1617656400756099,-0.09292951301884733,-0.052194205703227414,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5184631046402526,0.876909905464766,1.0864006994458193,0.4679430069726984,-0.1612660453952527,-0.10040774719673795,-0.052094522019333955,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
7,SMH,HB,Growth & Technology,Semiconductors,1.4685223960737788,0.7910656403878054,0.944372436407511,0.40105336534737823,-0.12466933350538756,-0.0788464149918523,-0.04548572634689463,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
8,EWT,HB,International,Taiwan Equity,1.2105779177754386,0.7853042063953255,0.7921393424922727,0.5300757251035864,0.04355876047554075,-0.0038139534883721016,-0.03444234063655205,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.145658263305322,0.8866995073891628,0.7105911330049264,0.4604385128693995,0.24350649350649345,0.10295176385889127,-0.04309806371018121,ACCELERATING,Positive trend strengthening through 1m; 1d down.
10,COPX,HB,Natural Resources,Copper Miners,1.2091850137430353,0.6407556313874108,0.6570314312263976,0.11228908746630184,-0.011657947602842222,-0.009822263797941821,-0.043488083135660216,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
11,XBI,,Defensive Equity,Biotech,0.8058442697184656,0.6442729697987886,0.6465823419473826,0.28698813594306527,0.17193938678567044,-0.0014025245441796619,0.0028169014084507005,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
12,OIH,HB,Natural Resources,Oil Services,0.6790386905469414,0.6100494267389664,0.6054743117895212,0.10942257430011049,-0.03837260901043982,0.002849696763036702,-0.021228040982242624,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
13,EPU,HB,International,Peru Equity,1.2426860794981964,0.5719225991675372,0.56216791757505,0.12517972461640658,0.028930286590725496,0.0062443233424158695,-0.023037918871252283,COOLING,Positive trend losing velocity into 1m; 1d down.
14,SLV,,Natural Resources,Silver Bullion,0.8788881535407016,0.5025138925641706,0.5390314898121196,-0.21887467327005083,-0.07358459781367266,-0.023727647867950452,-0.023055746730901494,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
15,PICK,HB,Natural Resources,Global Metals & Mining,0.7604938650807305,0.48252919187816334,0.5045301958672228,0.11696121513040869,-0.049862099669411686,-0.014623172103486959,-0.03204419889502763,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
