Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,EWY,,International,South Korea Equity,2.368547780690243,1.544208919064482,1.4330348368836354,0.33184490585696214,-0.1596543951915853,0.0456935842000703,0.017974971558589292
2,FTXL,HB,Growth & Technology,Semiconductors,1.7170524838893533,1.2520788204939803,1.4171435070814695,0.4386034220362325,-0.21608904503200188,-0.06828915457601159,0.006850889696077944
3,PSI,HB,Growth & Technology,Semiconductors,1.4855196095327212,1.087919097863352,1.3779662771047705,0.33325423396732634,-0.21195609456616038,-0.12197278911564635,0.008911123270538557
4,AIS,HB,Transportation & Trade,Marine Shipping,1.878174773999139,1.2279240253248918,1.3272242585804732,0.5078935498421289,-0.19026280731500544,-0.042668957617411296,0.006018657839302
5,SOXX,,Growth & Technology,Semiconductors,1.5115899372045094,1.073295742938953,1.2432983811840073,0.468837821445625,-0.18568416600816862,-0.07578244591578909,0.0016189962223420729
6,SOXQ,HB,Growth & Technology,Semiconductors,1.4933499919774382,1.028542775811386,1.1800012386690524,0.43467611611623713,-0.18542665106645762,-0.06947631963279777,0.003374578177727683
7,SMH,HB,Growth & Technology,Semiconductors,1.4745157802564295,0.9262837732525739,1.0158523096345218,0.37842645953395126,-0.13759209907509007,-0.04443209254659475,0.009005539048457356
8,EWT,HB,International,Taiwan Equity,1.2765120957144322,0.9706241032526481,0.841615521563986,0.527087405752583,0.023105706267539716,0.07005185402602487,-0.0033716056132676586
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.6829268292682924,1.0573566084788033,0.7344139650872819,0.385390428211587,0.30744849445324895,0.18619698058950385,0.044303797468354444
10,COPX,HB,Natural Resources,Copper Miners,1.458790040429374,0.8406845270576686,0.7198697678003514,0.023088361855908124,-0.0006041910445887533,0.07024645791165618,0.007283729269385919
11,EPU,HB,International,Peru Equity,1.3464573166130314,0.7170194623650876,0.6447102092677597,0.05892498972400273,0.11832870574253729,0.04396473779385168,0.01639524647887325
12,XBI,,Defensive Equity,Biotech,0.9438279414815054,0.7912143818860746,0.6427126400631422,0.31128436933669557,0.27684330925007483,0.09040031603897836,0.013525091799265754
13,OIH,HB,Natural Resources,Oil Services,0.7623034191857612,0.7458378122517804,0.566193805217065,0.14064660908592752,0.013705301238347012,0.11470100726762733,0.024011431784108028
14,PICK,HB,Natural Resources,Metals & Mining,0.9050397034133006,0.627556061257635,0.5517507049189849,0.06785133457254577,-0.024693733570098853,0.04885150436751862,0.011228945726762252
15,LIT,HB,Natural Resources,Lithium & Battery,0.8483221832366232,0.5962682210125698,0.5422704685227915,0.04749732287096031,-0.12186002607000179,0.03501185660482631,-0.006826395395529206
16,QTEC,HB,Growth & Technology,Technology,0.6401903224429437,0.45067984915393744,0.5180241978289608,0.35650404537743774,-0.08250021953317255,-0.04436315888201092,-0.007629374715927395
17,BOAT,HB,Transportation & Trade,Shipping,1.0752812321276615,0.6850829235369784,0.5092959518884592,0.2053651075120586,0.2431251427008061,0.11646951774340297,0.008838643371017474
18,SLV,,Natural Resources,Silver,1.051478260869565,0.5876177658142665,0.4492597577388966,-0.21714892487390502,-0.10919800634345256,0.09546805349182752,0.01830110497237558
