Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.3472273808293163,1.386635141392067,1.2889112275043115,0.5570464205350447,-0.052970397404703884,0.04269449715370022,0.02355777132526171,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
2,FTXL,HB,Growth & Technology,Semiconductors,2.114608770595643,1.3007457372337798,1.021388810723833,0.7218275502020621,-0.039816175085697125,0.13820049118106725,0.01553784860557772,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
3,AIS,HB,Growth & Technology,AI Infrastructure,2.209037162162162,1.1987847222222219,0.9973958333333333,0.8071343638525565,-0.047982961663743384,0.10082572794437183,0.015094843708255423,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
4,PSI,HB,Growth & Technology,Semiconductors,1.875535387278921,1.1565668009604755,0.9544110336527554,0.5899052766892332,-0.1043524794862648,0.10343564574023878,0.021220338983050757,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.8293018408143373,1.1376538704972075,0.9201726380445476,0.7456206864457049,-0.027401302617267476,0.1132612912733395,0.01294892857773755,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.7362768624036309,1.0192937162877853,0.8489748587531343,0.6728778138491083,-0.03732922838899455,0.092115291199528,0.014960309383268866,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
7,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.3440860215053765,0.8210023866348446,0.7971360381861574,0.526,0.35403726708074545,0.013280212483399723,-0.032339885859226314,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
8,COPX,HB,Natural Resources,Copper Miners,1.0487286682439896,0.577837702349665,0.7538873075332984,0.21656204930276046,0.13208297543483538,-0.1003768055264811,-0.003478260869565153,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
9,EWT,HB,International,Taiwan Equity,1.3831155463489226,0.8916472024010398,0.750477044998231,0.6400855920114124,0.11827643225367179,0.08064667731929687,0.01671383091616563,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
10,SMH,HB,Growth & Technology,Semiconductors,1.6565312323977843,0.8998860412875527,0.7361630852155334,0.5969435983615166,-0.005608148983829664,0.09430159958256112,0.012755611803104028,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
11,XBI,,Defensive Equity,Biotech,0.7870018923773405,0.5964180545729911,0.7355596630482664,0.25134823234643777,-0.0031535590166045235,-0.08017103153393912,-0.007433514899070959,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
12,EPU,HB,International,Peru Equity,1.1105287303010543,0.5425455252098541,0.606967380091008,0.1993765979701041,0.08525179856115117,-0.04008908685968815,-0.0018747243052492646,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
13,BOAT,HB,Transportation & Trade,Global Shipping,1.0733156992049753,0.6909197075362121,0.5897960779678701,0.31970726636417957,0.3211066382993848,0.06360792492179357,-0.005847953216374213,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
14,PICK,HB,Natural Resources,Global Metals & Mining,0.6749698620696847,0.44559078021202336,0.5794946316860887,0.14369171329069608,0.04865424430641818,-0.08477638909802732,-0.0003289473684210398,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
15,OIH,HB,Natural Resources,Oil Services,0.5144789346546927,0.5274054968963433,0.5625639578123443,-0.04229885057471272,0.05384103315137789,-0.02250049397352305,0.003982749873160829,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
16,SLV,,Natural Resources,Silver Bullion,0.8858731196860694,0.44826720241084894,0.5467101958814666,-0.05101201250617082,0.08239489489489493,-0.0636466958921903,0.0008677542519959225,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
