Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,EWY,,International,South Korea Equity,2.3539019497526383,1.5381759198494622,1.2679825427796678,0.35507027353785703,-0.16407961590453546,0.1191337993010484,-0.008459581997124821
2,FTXL,HB,Growth & Technology,Semiconductors,1.600386125449507,1.210803632971448,1.223416453329785,0.46031447808207493,-0.20476017173094962,-0.005672720618509541,-0.020548871163985405
3,PSI,HB,Growth & Technology,Semiconductors,1.3544370262541237,1.037664746536866,1.2140501011589637,0.34216339022420095,-0.2079476948570449,-0.07966637906241025,-0.028978910635715338
4,AIS,HB,Transportation & Trade,Marine Shipping,1.7762121840033154,1.2007227332457289,1.1438896189224703,0.5550139275766015,-0.18284947548182495,0.026509347226478575,-0.015866020273248127
5,SOXX,,Growth & Technology,Semiconductors,1.4173561874787626,1.0476240586568069,1.0791171465407063,0.4951180244500555,-0.1732051320391348,-0.015147336905137143,-0.02162257357545405
6,SOXQ,HB,Growth & Technology,Semiconductors,1.38584928963071,0.9990883426083936,1.0238295349674087,0.4554654566827183,-0.17685582151815604,-0.012224938875305735,-0.02071397091229632
7,SMH,HB,Growth & Technology,Semiconductors,1.3521862197928818,0.8861081994192328,0.8848642014862311,0.39574489848105165,-0.13664763290678728,0.0006599934000659502,-0.019420440867362387
8,EWT,HB,International,Taiwan Equity,1.2806528184121384,0.9700777592898071,0.7422891854428675,0.5540749053163136,0.034357202875548554,0.1307409675443969,0.025548458761455173
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.3968749999999996,0.83273596176822,0.6666666666666667,0.22720000000000007,0.1854714064914993,0.09964157706093202,-0.008403361344537896
10,XBI,,Defensive Equity,Biotech,0.8432890662035253,0.819642671327657,0.6470142053043144,0.31910741583489055,0.27512335705141266,0.10481297943113166,0.0015384615384614886
11,EPU,HB,International,Peru Equity,1.3346734507382947,0.7321448463437814,0.6429763821836962,0.06004814931051561,0.07689971654717676,0.05427251732101612,-0.002839667977282745
12,COPX,HB,Natural Resources,Copper Miners,1.4658370400253031,0.8817001714624197,0.6361534524735142,0.05240358609946738,-0.022206322272206314,0.15007560483870974,-0.017122550075382326
13,OIH,HB,Natural Resources,Oil Services,0.6380524833407857,0.6988296966831267,0.513578437849203,0.1153006032868733,-0.003600882797072824,0.12239290293879046,-0.0006524069155133816
14,BOAT,HB,Transportation & Trade,Shipping,1.0533093615836497,0.6820713441787007,0.5134185825451323,0.19157564203329924,0.23252719029554658,0.11143827859569644,0.008425811755035095
