Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,FTXL,HB,Growth & Technology,Semiconductors,1.8324929390731235,1.1915519657883316,1.1761019153911652,0.5237743176796852,-0.14087059926354584,0.007099874453439403,0.03894421865928277,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
2,EWY,,International,South Korea Equity,2.221121357944451,1.3097542751042202,1.1547822826501681,0.38216560509554154,-0.11117612638970165,0.07192002352249327,0.03839580722342495,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
3,PSI,HB,Growth & Technology,Semiconductors,1.5688605387584662,0.9672064047628717,1.1436059364031856,0.407023436710928,-0.19822038050152468,-0.08229102590390258,0.03411891558841651,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
4,AIS,HB,Growth & Technology,AI Infrastructure,1.9478732276897412,1.0994950994950994,1.0683100683100681,0.5793118856121537,-0.11537980227756228,0.015077541642734005,0.04047689137474242,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.5558349867090349,1.0094921444720257,1.0602882068047914,0.5328113982319203,-0.1357967179335159,-0.024654833321374525,0.03164960363303204,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.500723631759469,0.9129195321322225,0.9794102658697132,0.4876212029164859,-0.1400893945681021,-0.03359118363886826,0.02969402732302151,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.4524448644602788,0.827778283743825,0.8604305924374638,0.4219269946909847,-0.10288956199817301,-0.01755094160801729,0.0260466309846763,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
8,EWT,HB,International,Taiwan Equity,1.277312481196204,0.8237920417622775,0.7243515192424976,0.5476590972806279,0.05042336599752639,0.057668359038222095,0.018542435424354187,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.2740524781341107,0.9402985074626868,0.718905472636816,0.457943925233645,0.3131313131313129,0.12879884225759763,0.019607843137254832,ACCELERATING,Positive trend strengthening through 1m; 1d up.
10,XBI,,Defensive Equity,Biotech,0.8168941330268553,0.711017049057731,0.7158395322850641,0.3195997408759199,0.14654377313508893,-0.0028105677346824676,0.03554287196782968,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
11,OIH,HB,Natural Resources,Oil Services,0.5841561221878504,0.5691796154838975,0.6440122997753184,0.046872554645521536,0.01065169218372275,-0.045518323860258225,0.0037514067775414883,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
12,COPX,HB,Natural Resources,Copper Miners,1.1276158218912222,0.6607025969328,0.6354738315058084,0.1635563116027947,0.0049016958723162585,0.015425967044525146,0.032070317139802906,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
13,EPU,HB,International,Peru Equity,1.1687060099971167,0.5937776114680366,0.5417912784977723,0.17486290187423625,0.017551755175517547,0.03371813921591049,0.01310630670998103,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
14,BOAT,HB,Transportation & Trade,Global Shipping,1.1775394287208991,0.7175399292304787,0.5377113432705916,0.3658760700843702,0.3289984345928749,0.11694560669456067,0.016178149980967005,ACCELERATING,Positive trend strengthening through 1m; 1d up.
15,SLV,,Natural Resources,Silver Bullion,0.9279454722492697,0.5388601036269429,0.4880829015544039,-0.1353711790393014,-0.019963702359346636,0.034122562674094636,0.04119193689745848,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
