Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,EWY,,International,South Korea Equity,2.2949893799555,1.493591889583886,1.2679825427796678,0.33126794619918387,-0.17876287698690152,0.09947578632051912,-0.025876368461793642
2,FTXL,HB,Growth & Technology,Semiconductors,1.5960793046508912,1.207141675130683,1.2234162807816764,0.45789573774570713,-0.20607733914837245,-0.007319639507754272,-0.022171150466405276
3,PSI,HB,Growth & Technology,Semiconductors,1.3476312317251073,1.0317747452627835,1.2140502356119094,0.3382836991743339,-0.2102372210515988,-0.08232671843543293,-0.03178576847215897
4,AIS,HB,Transportation & Trade,Marine Shipping,1.7542478242851223,1.1833114323258869,1.1438896189224703,0.542711234911792,-0.189314466943157,0.01838798651547635,-0.023652122814749488
5,SOXX,,Growth & Technology,Semiconductors,1.4118926752950207,1.042996335729784,1.0791171465407063,0.49173899013411204,-0.17507372581260183,-0.017373148439962183,-0.023833750782717655
6,SOXQ,HB,Growth & Technology,Semiconductors,1.3788697389320923,0.993240424414445,1.0238295349674087,0.4512077944556989,-0.17926375903396685,-0.015114469882196002,-0.023578669017188192
7,SMH,HB,Growth & Technology,Semiconductors,1.3435242171147386,0.8791625442933069,0.8848642014862311,0.39060502224722526,-0.13982695623289743,-0.003024969750302642,-0.023031457161849067
8,EWT,HB,International,Taiwan Equity,1.2592440366525155,0.9515843856129282,0.7422891854428675,0.5394866040117827,0.024647558584632634,0.12012655644008974,0.015921503286124183
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.4640624999999998,0.8841099163679811,0.6666666666666667,0.26160000000000005,0.21870170015455948,0.13046594982078852,0.019392372333548735
10,XBI,,Defensive Equity,Biotech,0.8479325226049779,0.8242267173813858,0.6470142053043144,0.3224305128578846,0.2783356493794684,0.10759622564659566,0.004061538461538339
11,EPU,HB,International,Peru Equity,1.3165177207270768,0.7186748410362902,0.6429765010899957,0.05180462043855005,0.0685251404382119,0.046073903002309624,-0.010594145915246767
12,COPX,HB,Natural Resources,Copper Miners,1.4163960212541156,0.8439714755323826,0.6361535811521677,0.03130247332898395,-0.04181147654241413,0.127016129032258,-0.03682963601119971
13,OIH,HB,Natural Resources,Oil Services,0.6320181561697005,0.6925714758373367,0.513578437849203,0.11119201164967762,-0.007271460099895433,0.11825818438751212,-0.004333845938766956
14,BOAT,HB,Transportation & Trade,Shipping,1.042848237874746,0.6735016994476022,0.5134186814955273,0.18550484703618642,0.2262477568825878,0.10577576443941106,0.0032881216605014085
15,PICK,HB,Natural Resources,Metals & Mining,0.8769614479163266,0.6037735814529424,0.48384659608179237,0.06919517581680323,-0.06094472866330858,0.0808216871527192,-0.015490797546012347
16,LIT,HB,Natural Resources,Lithium & Battery,0.8542527634867201,0.5860761644651413,0.4727698538531835,0.06711194733151715,-0.13111895089073344,0.07693415934303416,-0.02121251800445212
17,SLV,,Natural Resources,Silver,1.0452137054044508,0.5998894722298977,0.44957170489085385,-0.22469201928227112,-0.14840417708486542,0.1036980556614564,-0.03708631298852494
18,QTEC,HB,Growth & Technology,Technology,0.6176955973885836,0.44701678812316614,0.4269075867037,0.3977672551890974,-0.07490017529592352,0.014092854790912268,-0.026950175349909844
19,DXJ,HB,International,Japan Hedged Equity,0.6967782259208435,0.4630724063035403,0.38608569220630695,0.12783331867831582,0.05938604685113802,0.05554253573939527,0.003062190301208023
20,XLK,,Growth & Technology,Technology,0.6404386073923805,0.4048804545808653,0.3638217891689055,0.33706900800074235,-0.07361547716666828,0.03010559424848358,-0.016621983914209104
21,IBB,HB,Defensive Equity,Biotechnology,0.5415131627239591,0.5268828412451154,0.348452752913778,0.23864426070300016,0.28166803948654984,0.13232209133451667,0.006983975125568032
22,VDE,HB,Natural Resources,Energy,0.5067625229167432,0.4807052298316443,0.34526251011762543,0.15982849397853127,0.12262558953178004,0.10068125640561876,0.013320752622523191
23,DBC,,Inflation & Real Assets,Broad Commodities,0.5002107614670284,0.4860259845868573,0.34407862307762094,0.23234272481667317,0.060092961487383745,0.10560941828254844,0.0201277955271566
24,IYW,HB,Growth & Technology,Technology,0.605582166141748,0.36455094954406864,0.342134310332588,0.31234070658990665,-0.04661505357668083,0.016702232435981568,-0.014048073861827493
25,XLE,,Natural Resources,Energy,0.49066416372287924,0.47693055861267086,0.34119165185108025,0.16123384343162694,0.12503260122292148,0.10120768838237781,0.012195121951219523
26,XOP,HB,Natural Resources,Oil & Gas E&P,0.521915499449892,0.48088632394278674,0.3407213949960981,0.22159229097993216,0.1456529430046889,0.1045444112921734,0.018734123624047472
27,QCLN,HB,Growth & Technology,Clean Energy,0.5887721818502638,0.2716740259994095,0.33324926458167536,0.016409028411423332,-0.29721045713451144,-0.04618434093161561,-0.016152116131670446
28,FTEC,HB,Growth & Technology,Technology,0.6048478430994644,0.3734030977557887,0.3305417626294094,0.31710618613375474,-0.05535983397527067,0.03221344592872999,-0.013840589789956947
29,VGT,,Growth & Technology,Technology,0.5976899401838969,0.368564812127385,0.3272957586619534,0.3153315133162373,-0.054931106455829104,0.03109258294250483,-0.014690015768943465
