Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,FTXL,HB,Growth & Technology,Semiconductors,1.7705719276067566,1.302617193355203,1.338421257721972,0.5948104212509173,-0.07091375235506958,-0.015311212318369072,0.032190597435664436
2,PSI,HB,Growth & Technology,Semiconductors,1.5334977100443044,1.147294632170278,1.2968732422053595,0.5162155413214795,-0.06748853800295351,-0.06512270998963021,0.042636854279105574
3,EWY,,International,South Korea Equity,2.3769468043872197,1.5903634635069035,1.2965128113156497,0.4607433125542493,0.05668131742679372,0.12795515476480634,0.0252547629596811
4,AIS,HB,Transportation & Trade,Marine Shipping,1.9018789144050103,1.2884425419822194,1.253210405004939,0.6591071854857962,-0.018777354228434295,0.015636416776267703,0.034226190476190466
5,SOXX,,Growth & Technology,Semiconductors,1.5335347445747534,1.1365977417566762,1.1911164316064187,0.6068641757156692,-0.03752236574486423,-0.024881694584240943,0.03399044205495816
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5150248941125688,1.0791755049547143,1.1327184361578326,0.5637892938862188,-0.03953532722905162,-0.02510548523206746,0.03378076062639823
7,SMH,HB,Growth & Technology,Semiconductors,1.4869647266759989,0.9682250354492876,0.9777072884948463,0.49448181627075893,-0.00166757359265568,-0.004794568488835971,0.029207383279044485
8,EWT,HB,International,Taiwan Equity,1.2487662811116613,0.9745913541681384,0.7987389575530752,0.6103279631760645,0.14141517128874392,0.09776426750343203,0.016525923908108586
9,COPX,HB,Natural Resources,Copper Miners,1.2979469312758676,0.8500633107589615,0.7632231863526957,0.13367055443364628,0.12397032370474514,0.04925078406318972,-0.010082191780821925
10,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.5930047694753573,1.0235732009925553,0.7295285359801487,0.5592734225621412,0.2842519685039371,0.17001434720229547,0.010532837670383932
11,XBI,,Defensive Equity,Biotech,0.8664313340721865,0.7533611714484496,0.660502028863464,0.31693666110138996,0.2691392937377841,0.05592233009708725,-0.007543496775763492
12,EPU,HB,International,Peru Equity,1.3554097637983613,0.6774698650070796,0.6380926381289791,0.11914896060423397,0.18510702512408161,0.024038461538461675,-0.009623702422145386
13,LIT,HB,Natural Resources,Lithium & Battery,0.8248710270235242,0.5786446689906584,0.5508026113365021,0.07331965511321381,-0.05457402463137584,0.01795332136445249,-0.010072522159548791
14,OIH,HB,Natural Resources,Oil Services,0.7376907387544698,0.6705661380340722,0.5470265509350694,0.13409048295074055,0.020954907161803815,0.0798561518057539,-0.0149368325539192
15,PICK,HB,Natural Resources,Metals & Mining,0.8239276169783167,0.6084571679745967,0.545877083625423,0.13846863419458266,0.05720210864966413,0.040481927710843246,-0.006290273089905041
16,SLV,,Natural Resources,Silver,0.9922741014444072,0.6060113728675873,0.512320606552938,-0.21898867526994992,-0.0367061880786097,0.061951656222023255,-0.02047894302229558
17,BOAT,HB,Transportation & Trade,Shipping,1.1057829474143923,0.7207680894967674,0.48265943755495244,0.2985972090874711,0.26749997365439593,0.1605956471935852,0.006156901688182614
18,QTEC,HB,Growth & Technology,Technology,0.6504992509123821,0.47083234253167316,0.464012917780535,0.4150680735609238,0.02544993091629255,0.004658035915063197,0.008610958815751246
19,XLK,,Growth & Technology,Technology,0.7108171050296106,0.43844152441216844,0.4186917551982716,0.3720445059387629,0.04345017910771953,0.0139211136890951,0.01043179007366768
20,DXJ,HB,International,Japan Hedged Equity,0.663910987571136,0.4288149497125653,0.414560247003918,0.15244001650321293,0.06719009838123569,0.010077126611495846,-0.003443679182403958
21,SIL,,Natural Resources,Silver Miners,1.7531805313580713,0.6614063039094067,0.39824814377334694,-0.02137271780777017,0.249576615875847,0.1882056209464329,-0.02397395422257298
22,FTEC,HB,Growth & Technology,Technology,0.6780365821612708,0.407052033276984,0.38126075692590655,0.35974862817490494,0.057247156176911895,0.018672271851462474,0.008007765105556786
23,QCLN,HB,Growth & Technology,Clean Energy,0.6505295235814175,0.31717183667403814,0.37868443006186125,0.09387366888928628,-0.19775207688548624,-0.0446168768186227,0.002442499491145833
24,IBB,HB,Defensive Equity,Biotechnology,0.5530938276857971,0.5123536914418514,0.37841909993167433,0.26464813033954737,0.2571228373950676,0.09716536249157892,-0.009775033908610453
25,VGT,,Growth & Technology,Technology,0.6704869207071735,0.40241258776312083,0.37776035400418295,0.35749457570360343,0.057294543573803924,0.017892976588628873,0.007114493712772951
26,DRIV,HB,Growth & Technology,Autonomous/EV,0.5411492372871098,0.3632000760060674,0.3722461238272272,0.15150404415348118,-0.10074151560583977,-0.006592146746918992,0.004928964917367162
27,IYW,HB,Growth & Technology,Technology,0.6741831887155976,0.3924097561059978,0.3720418417781526,0.35116612374260003,0.054444834875056136,0.014844965880521865,0.007008790686623856
28,XME,HB,Natural Resources,Metals & Mining,1.0714956311713024,0.4514061081742373,0.3577709735251533,0.07239739870515072,-0.004715827805634842,0.06896239238785684,-0.003547896604156109
29,VDE,HB,Natural Resources,Energy,0.5747997055369787,0.47414900717907615,0.34731489145308236,0.13905498007430506,0.11342760305234512,0.09413843529125021,-0.014218269653052285
30,XLE,,Natural Resources,Energy,0.5571805031268127,0.47450711509041277,0.34648035505822583,0.1413903680571551,0.11235163192873143,0.0950825309491059,-0.014391829155060432
31,DBC,,Inflation & Real Assets,Broad Commodities,0.4916408149972069,0.4688061407316384,0.3431478207070686,0.14721919302071962,0.07971262401642143,0.0935550935550935,-0.01251564455569465
32,ROBO,HB,Growth & Technology,Robotics,0.4249456033069008,0.27789518632763777,0.32033275035120456,0.11697693803834408,-0.035739985608059355,-0.0321415673528348,0.007897705904475583
