Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,EWY,,International,South Korea Equity,2.3007871249196628,1.4979795243084348,1.2679825427796678,0.3336103974610851,-0.1773178576422878,0.10141038442336492,-0.024162335508127852
2,FTXL,HB,Growth & Technology,Semiconductors,1.5973951131128965,1.208260725641138,1.223416453329785,0.45863479729293055,-0.20567487132638218,-0.0068164142915961845,-0.021675454012888173
3,PSI,HB,Growth & Technology,Semiconductors,1.3560926551097947,1.0390974795617747,1.2140501011589637,0.3431070988579523,-0.20739078307999126,-0.07901926948518845,-0.028296161432255995
4,AIS,HB,Transportation & Trade,Marine Shipping,1.7563199336924993,1.1849540078843628,1.1438896189224703,0.5438718662952648,-0.1887045620883142,0.01915415262028808,-0.022917584839135974
5,SOXX,,Growth & Technology,Semiconductors,1.4206436790681916,1.0504087549434864,1.0791170166171513,0.4971514256313312,-0.17208066852943782,-0.013807910494799902,-0.02029195366311831
6,SOXQ,HB,Growth & Technology,Semiconductors,1.386923273605417,0.99998802233054,1.0238295349674087,0.4561204816407216,-0.1764853695926466,-0.011780395643476327,-0.02027324812692821
7,SMH,HB,Growth & Technology,Semiconductors,1.3501176818398921,0.884449535508564,0.8848642014862311,0.3945174653505856,-0.13740687429809717,-0.0002199978000220204,-0.020282773116792052
8,EWT,HB,International,Taiwan Equity,1.2619201343724682,0.9538960573225379,0.7422891854428675,0.5413101416748489,0.025861264120996985,0.12145335782812805,0.01712487272054064
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.4609375,0.881720430107527,0.6666666666666667,0.26,0.2171561051004638,0.12903225806451624,0.018099547511312153
10,XBI,,Defensive Equity,Biotech,0.8471397101718916,0.8234440753722125,0.6470142053043144,0.3218631548295685,0.27778720922589795,0.10712103726834576,0.0036307692307693262
11,EPU,HB,International,Peru Equity,1.324444870450285,0.7245560408833487,0.6429763821836962,0.055403907692507026,0.0721816454998725,0.04965357967667461,-0.007208387942332806
12,COPX,HB,Natural Resources,Copper Miners,1.432336021841548,0.8561352737675212,0.6361534524735142,0.038105564331489594,-0.035490689100106665,0.13445060483870974,-0.030475985354296742
13,OIH,HB,Natural Resources,Oil Services,0.6387781302790807,0.6995822675443293,0.513578437849203,0.1157946744331182,-0.0031594842606574858,0.12289011592913401,-0.00020970222284366624
14,BOAT,HB,Transportation & Trade,Shipping,1.0432666828231016,0.6738444896359364,0.5134186814955273,0.18574767883607102,0.22649893421910616,0.10600226500566245,0.0034936292642828715
