Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,FTXL,HB,Growth & Technology,Semiconductors,1.6866549666621236,1.22597821074228,1.3836198361853493,0.43720275259692953,-0.21042553552141363,-0.06613538914634665,-0.017004786870298605
2,EWY,,International,South Korea Equity,2.3424354917904835,1.5016693627918776,1.371951096040239,0.41872117066963566,-0.12541059959798018,0.05468842379094241,-0.0026277535502629012
3,PSI,HB,Growth & Technology,Semiconductors,1.4092876155289589,1.0519549471785434,1.3224155223674092,0.3384103426207239,-0.21873986112399146,-0.11645658263305325,-0.023527590743750548
4,AIS,HB,Transportation & Trade,Marine Shipping,1.823781009409752,1.1933554817275747,1.2780730897009964,0.5310760667903525,-0.1773208722741434,-0.03718827475572406,-0.013890963405526646
5,SOXX,,Growth & Technology,Semiconductors,1.4556659327583898,1.0481176333017137,1.2061256124403164,0.4602903569968053,-0.18216757567930897,-0.07162238552854727,-0.017449744735162698
6,SOXQ,HB,Growth & Technology,Semiconductors,1.4402888318189748,1.0010090377731014,1.1541439965914053,0.42767591677151606,-0.18047012779989857,-0.07108854331958103,-0.016354878458608613
7,SMH,HB,Growth & Technology,Semiconductors,1.4238486525432554,0.9059575530649846,0.9951564926246654,0.37657771594789424,-0.13274265772154314,-0.04470774091627172,-0.011353727655863954
8,EWT,HB,International,Taiwan Equity,1.2250868683118452,0.933738046656581,0.8112097931937217,0.5423295454545454,0.02676122931442082,0.0676499508357915,-0.007767522617198264
9,COPX,HB,Natural Resources,Copper Miners,1.4703269237977752,0.8159858265543973,0.7451494999866728,0.1002023514754371,0.003620659594345099,0.040590405904058935,0.0037819799777529806
10,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.686666666666667,0.9803439803439804,0.7162162162162162,0.3993055555555558,0.2733017377567142,0.1539012168933429,-0.0277442702050662
11,XBI,,Defensive Equity,Biotech,0.9063198657827731,0.7529947364623264,0.6413274056180427,0.3202616574992243,0.22605623029590483,0.06803476896934835,-0.011791739735139473
12,EPU,HB,International,Peru Equity,1.372062403885896,0.6842094408481632,0.6382863961507237,0.10889642932362209,0.12080295431175347,0.02803114571746379,-0.0008648648648648116
13,PICK,HB,Natural Resources,Metals & Mining,0.9153768621191096,0.6111862732966729,0.5680494196955619,0.1147439514421964,-0.016864718473485252,0.027509881422924876,0.001695437731195959
14,OIH,HB,Natural Resources,Oil Services,0.7922107069610018,0.7789392683560596,0.568040184670217,0.153764889205821,-0.0048294872086931395,0.13449851971121385,0.0006184433551699176
15,LIT,HB,Natural Resources,Lithium & Battery,0.8602038216720049,0.5924359297893469,0.55959113371793,0.07750757759722982,-0.10544098194884344,0.021059876118375787,-0.001077295987072402
